192. Room (2015),8.1
193. Sherlock Jr. (1924),8.1
194. Hacksaw Ridge (2016),8.1
195. How to Train Your Dragon (2010),8.1
196. Memories of Murder (2003),8.1
197. The Wages of Fear (1953),8.1
198. The Seventh Seal (1957),8.1
199. Barry Lyndon (1975),8.1
200. The Big Lebowski (1998),8.1
201. Klaus (2019),8.1
202. Mad Max: Fury Road (2015),8.1
203. Wild Tales (2014),8.1
"204. Monsters, Inc. (2001)",8.1
205. Mary and Max (2009),8.1
206. Jaws (1975),8.1
207. The Passion of Joan of Arc (1928),8.1
208. Hotel Rwanda (2004),8.1
209. Rocky (1976),8.1
210. Dead Poets Society (1989),8.1
211. Tokyo Story (1953),8.1
212. Platoon (1986),8.1
213. Ford v Ferrari (2019),8.1
214. The Terminator (1984),8.1
215. Stand by Me (1986),8.1
216. Rush (2013),8
217. Into the Wild (2007),8
218. The Wizard of Oz (1939),8
219. Logan (2017),8
220. Spotlight (2015),8
221. Network (1976),8
222. Groundhog Day (1993),8
223. The Exorcist (1973),8
224. Ratatouille (2007),8
225. Hachi: A Dog's Tale (2009),8
226. The Incredibles (2004),8
227. Dersu Uzala (1975),8
228. The Best Years of Our Lives (1946),8
229. Before Sunset (2004),8
230. Rebecca (1940),8
231. Dune (2021),8
232. My Father and My Son (2005),8
233. The Grapes of Wrath (1940),8
234. Cool Hand Luke (1967),8
235. To Be or Not to Be (1942),8
236. The Battle of Algiers (1966),8
237. Amores perros (2000),8
238. Pirates of the Caribbean: The Curse of the Black Pearl (2003),8
239. The Sound of Music (1965),8
240. Life of Brian (1979),8
241. The 400 Blows (1959),8
242. Persona (1966),8
243. It Happened One Night (1934),8
244. La Haine (1995),8
245. Aladdin (1992),8
246. Beauty and the Beast (1991),8
247. Jai Bhim (2021),8
248. Gandhi (1982),8
249. The Help (2011),8
250. The Handmaiden (2016),8
